Date,AC.TO
2010-12-23,3.5799999237060547
2010-12-24,3.5399999618530273
2010-12-29,3.4600000381469727
2010-12-30,3.430000066757202
2010-12-31,3.450000047683716
2011-01-04,3.440000057220459
2011-01-05,3.4800000190734863
2011-01-06,3.5399999618530273
2011-01-07,3.630000114440918
2011-01-10,3.5999999046325684
2011-01-11,3.700000047683716
2011-01-12,3.5299999713897705
2011-01-13,3.430000066757202
2011-01-14,3.390000104904175
2011-01-17,3.380000114440918
2011-01-18,3.259999990463257
2011-01-19,3.130000114440918
2011-01-20,3.0799999237060547
2011-01-21,3.009999990463257
2011-01-24,3.0799999237060547
2011-01-25,3.069999933242798
2011-01-26,3.1600000858306885
2011-01-27,3.299999952316284
2011-01-28,3.2100000381469727
2011-01-31,3.180000066757202
2011-02-01,3.0999999046325684
